initial_mass,initial_Z,mesa_run_directory,min_model_number,max_model_number
7.0,0.0030,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_7.0MSUN_z0.0030,1843,1898
7.0,0.0035,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_7.0MSUN_z0.0035,1873,1888
7.0,0.0040,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_7.0MSUN_z0.0040,1903,1930
7.0,0.0045,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_7.0MSUN_z0.0045,1894,1965
7.0,0.0050,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_7.0MSUN_z0.0050,1907,2036
7.0,0.0055,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_7.0MSUN_z0.0055,1929,2082
7.0,0.0060,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_7.0MSUN_z0.0060,1925,2072
7.0,0.0065,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_7.0MSUN_z0.0065,1944,2112
7.0,0.0070,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_7.0MSUN_z0.0070,1946,2128
7.0,0.0075,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_7.0MSUN_z0.0075,1977,2170
7.0,0.0080,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_7.0MSUN_z0.0080,2004,2178
7.0,0.0085,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_7.0MSUN_z0.0085,2004,2200
7.0,0.0090,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_7.0MSUN_z0.0090,2033,2225
7.0,0.0095,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_7.0MSUN_z0.0095,2041,2227
7.0,0.0100,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_7.0MSUN_z0.0100,2076,2255
7.0,0.0105,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_7.0MSUN_z0.0105,2084,2255
7.0,0.0110,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_7.0MSUN_z0.0110,2102,2276
7.0,0.0115,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_7.0MSUN_z0.0115,2103,2267
7.0,0.0120,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_7.0MSUN_z0.0120,2097,2262
7.0,0.0125,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_7.0MSUN_z0.0125,2118,2274
7.0,0.0130,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_7.0MSUN_z0.0130,2131,2277
7.0,0.0135,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_7.0MSUN_z0.0135,2131,2272
7.0,0.0140,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_7.0MSUN_z0.0140,2148,2287
7.0,0.0145,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_7.0MSUN_z0.0145,2150,2281
7.0,0.0150,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_7.0MSUN_z0.0150,2172,2301
7.0,0.0155,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_7.0MSUN_z0.0155,2176,2299
7.0,0.0160,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_7.0MSUN_z0.0160,2184,2302
7.0,0.0165,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_7.0MSUN_z0.0165,2184,2294
7.0,0.0170,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_7.0MSUN_z0.0170,2204,2309
7.0,0.0175,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_7.0MSUN_z0.0175,2210,2308
7.0,0.0180,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_7.0MSUN_z0.0180,2239,2325
7.0,0.0185,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_7.0MSUN_z0.0185,2241,2316
7.0,0.0190,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_7.0MSUN_z0.0190,2241,2304
7.0,0.0195,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_7.0MSUN_z0.0195,2277,2331
7.0,0.0200,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_7.0MSUN_z0.0200,2265,2305
7.5,0.0015,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_7.5MSUN_z0.0015,1771,1985
7.5,0.0020,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_7.5MSUN_z0.0020,1795,1955
7.5,0.0025,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_7.5MSUN_z0.0025,1837,1998
7.5,0.0030,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_7.5MSUN_z0.0030,1862,1929
7.5,0.0045,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_7.5MSUN_z0.0045,1911,1945
7.5,0.0050,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_7.5MSUN_z0.0050,1916,1987
7.5,0.0055,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_7.5MSUN_z0.0055,1928,2063
7.5,0.0060,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_7.5MSUN_z0.0060,1935,2083
7.5,0.0065,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_7.5MSUN_z0.0065,1948,2096
7.5,0.0070,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_7.5MSUN_z0.0070,1954,2121
7.5,0.0075,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_7.5MSUN_z0.0075,1971,2164
