initial_Z,initial_mass,blue_loop_crossing_count,blue_loop_duration_yr,blue_loop_start_age,blue_loop_end_age,instability_start_age,instability_end_age,calculated_blue_loop_duration,calculated_instability_duration,run_dir_path
0.0115,6.0,2,1661888.2271674573,80408500.63134867,82070388.85851613,80408500.63134867,82070388.85851613,1661888.2271674573,1661888.2271674573,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_6.0MSUN_z0.0115
0.012,6.0,2,1647482.3277235925,80840963.03611568,82488445.36383927,80840963.03611568,82488445.36383927,1647482.3277235925,1647482.3277235925,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_6.0MSUN_z0.0120
0.0125,6.0,2,1542893.960024178,81299779.8918395,82842673.85186368,81299779.8918395,82842673.85186368,1542893.960024178,1542893.960024178,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_6.0MSUN_z0.0125
0.013,6.0,1,1478260.7561189532,81761117.34496213,83239378.10108109,81761117.34496213,83239378.10108109,1478260.7561189532,1478260.7561189532,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_6.0MSUN_z0.0130
0.0135,6.0,1,1403645.6525734216,82217592.2838598,83621237.93643323,82217592.2838598,83621237.93643323,1403645.6525734216,1403645.6525734216,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_6.0MSUN_z0.0135
0.014,6.0,1,1302589.0587636828,82683626.7781505,83986215.83691418,82683626.7781505,83986215.83691418,1302589.0587636828,1302589.0587636828,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_6.0MSUN_z0.0140
0.0145,6.0,1,1116059.0547219217,83137614.8650153,84253673.91973722,83137614.8650153,84253673.91973722,1116059.0547219217,1116059.0547219217,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_6.0MSUN_z0.0145
0.015,6.0,1,843451.9038464576,83623927.10700189,84467379.01084834,83623927.10700189,84467379.01084834,843451.9038464576,843451.9038464576,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_6.0MSUN_z0.0150
0.0155,6.0,1,656159.749510482,84093376.38538928,84749536.13489977,84093376.38538928,84749536.13489977,656159.749510482,656159.749510482,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_6.0MSUN_z0.0155
0.016,6.0,1,463663.780031234,84578206.87855013,85041870.65858136,84578206.87855013,85041870.65858136,463663.780031234,463663.780031234,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_6.0MSUN_z0.0160
