initial_mass,initial_Z,mesa_run_directory,min_model_number,max_model_number
6.5,0.0080,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_6.5MSUN_z0.0080,1885.0,2123.0
6.5,0.0085,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_6.5MSUN_z0.0085,1935.0,2186.0
6.5,0.0090,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_6.5MSUN_z0.0090,1950.0,2205.0
6.5,0.0095,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_6.5MSUN_z0.0095,2007.0,2261.0
6.5,0.0100,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_6.5MSUN_z0.0100,2019.0,2260.0
6.5,0.0105,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_6.5MSUN_z0.0105,2036.0,2281.0
6.5,0.0110,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_6.5MSUN_z0.0110,2051.0,2291.0
6.5,0.0115,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_6.5MSUN_z0.0115,2068.0,2304.0
6.5,0.0120,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_6.5MSUN_z0.0120,2022.0,2252.0
6.5,0.0125,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_6.5MSUN_z0.0125,1988.0,2213.0
6.5,0.0130,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_6.5MSUN_z0.0130,2046.0,2269.0
6.5,0.0135,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_6.5MSUN_z0.0135,2065.0,2284.0
6.5,0.0140,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_6.5MSUN_z0.0140,2063.0,2286.0
6.5,0.0145,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_6.5MSUN_z0.0145,2073.0,2293.0
6.5,0.0150,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_6.5MSUN_z0.0150,2073.0,2285.0
6.5,0.0155,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_6.5MSUN_z0.0155,2096.0,2307.0
6.5,0.0160,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_6.5MSUN_z0.0160,2106.0,2320.0
